파일명,도감번호,이름,학명,과,개화기_초안,희귀도_초안,상태
0128_부처꽃.png,128,부처꽃,Lythrum salicaria subsp. anceps,Lythraceae,7~9월,,납품됨(4자리로 개명 필요)
0129_물봉선.png,129,물봉선,Impatiens textorii,Balsaminaceae,9~10월,흔함,납품됨(4자리로 개명 필요)
0130_봉선화.png,130,봉선화,Impatiens balsamina,Balsaminaceae,7~10월,보통,납품됨(4자리로 개명 필요)
0131_노루오줌.png,131,노루오줌,Astilbe chinensis,Saxifragaceae,,,납품됨(4자리로 개명 필요)
0132_돌나물.png,132,돌나물,Sedum sarmentosum,Crassulaceae,4~7월,흔함,납품됨(4자리로 개명 필요)
0133_기린초.png,133,기린초,Phedimus aizoon var. floribundus,Crassulaceae,5~8월,,납품됨(4자리로 개명 필요)
0134_큰까치수염.png,134,큰까치수염,Lysimachia clethroides,Primulaceae,5~9월,흔함,납품됨(4자리로 개명 필요)
0135_까치수염.png,135,까치수염,Lysimachia barystachys,Primulaceae,5~8월,흔함,납품됨(4자리로 개명 필요)
0136_좁쌀풀.png,136,좁쌀풀,Lysimachia vulgaris var. davurica,,,,납품됨(4자리로 개명 필요)
0137_짚신나물.png,137,짚신나물,Agrimonia pilosa,Rosaceae,5~9월,흔함,납품됨(4자리로 개명 필요)
0138_이질풀.png,138,이질풀,Geranium thunbergii,Geraniaceae,8~9월,흔함,납품됨(4자리로 개명 필요)
0139_여뀌.png,139,여뀌,Persicaria hydropiper,Polygonaceae,,,납품됨(4자리로 개명 필요)
0140_개여뀌.png,140,개여뀌,Persicaria longiseta,Polygonaceae,9~10월,흔함,납품됨(4자리로 개명 필요)
0141_고마리.png,141,고마리,Persicaria thunbergii,Polygonaceae,9~10월,흔함,납품됨(4자리로 개명 필요)
0142_이삭여뀌.png,142,이삭여뀌,Persicaria filiformis,Polygonaceae,7~10월,흔함,납품됨(4자리로 개명 필요)
0143_도라지.png,143,도라지,Platycodon grandiflorus,Campanulaceae,7~8월,흔함,납품됨(4자리로 개명 필요)
0144_초롱꽃.png,144,초롱꽃,Campanula punctata,Campanulaceae,5~7월,흔함,납품됨(4자리로 개명 필요)
0145_섬초롱꽃.png,145,섬초롱꽃,Campanula takesimana,Campanulaceae,,,납품됨(4자리로 개명 필요)
0146_잔대.png,146,잔대,Adenophora triphylla var. japonica,Campanulaceae,8~9월,,납품됨(4자리로 개명 필요)
0147_참나리.png,147,참나리,Lilium lancifolium,Liliaceae,5~7월,흔함,납품됨(4자리로 개명 필요)
0148_백합.png,148,백합,Lilium longiflorum,,,,납품됨(4자리로 개명 필요)
0149_원추리.png,149,원추리,Hemerocallis fulva,Liliaceae,7~8월,흔함,납품됨(4자리로 개명 필요)
0150_노랑원추리.png,150,노랑원추리,Hemerocallis thunbergii,Liliaceae,7~8월,보통,납품됨(4자리로 개명 필요)
0151_옥잠화.png,151,옥잠화,Hosta plantaginea,Liliaceae,5~9월,보통,납품됨(4자리로 개명 필요)
0152_비비추.png,152,비비추,Hosta longipes,Liliaceae,5~9월,흔함,납품됨(4자리로 개명 필요)
0153_상사화.png,153,상사화,Lycoris squamigera,Amaryllidaceae,7~8월,보통,납품됨(4자리로 개명 필요)
0154_연꽃.png,154,연꽃,Nelumbo nucifera,Nelumbonaceae,6~9월,흔함,납품됨(4자리로 개명 필요)
0155_수련.png,155,수련,Nymphaea tetragona,Nymphaeaceae,5~10월,보통,납품됨(4자리로 개명 필요)
0156_부추꽃.png,156,부추꽃,Allium tuberosum,Liliaceae,8~10월,보통,납품됨(4자리로 개명 필요)
0157_백일홍.png,157,백일홍,Zinnia elegans,Asteraceae,6~10월,보통,납품됨(4자리로 개명 필요)
0158_채송화.png,158,채송화,Portulaca grandiflora,Portulacaceae,7~9월,보통,납품됨(4자리로 개명 필요)
0159_송엽국.png,159,송엽국,Lampranthus spectabilis,Aizoaceae,,귀함,납품됨(4자리로 개명 필요)
0160_페튜니아.png,160,페튜니아,Petunia hybrida,,,,납품됨(4자리로 개명 필요)
